PLZ;PLZ;PLZ (Cleaned);PLZ (Removed Duplicates);1. 05. _Seminargesamtliste_ is copied from Ragbit and treated appropriately for correct data period;;;;;;;
64665;64665;64665;64665;2. Copy Excerpt from PLZ in 5. _Seminargesamtliste_;;;;;;;
97877;97877;97877;97877;3. DO NOT edit Red Columns;;;;;;;
Rödermark;63322;63322;63322;4. When copying PLZ (Cleaned) for Heatmaps, remember to paste as values only from top left paste tab;;;;;;;
Frankfurt;Keine Angabe;;;;;;;;;Stand;22 Juni 2023
65760;65760;65760;65760;;;;;;;;
61348;61348;61348;61348;;;;;;;;
72285;72285;72285;72285;;;;;;;;
61348;61348;61348;61352;;;;;;;;
61352;61352;61352;65232;;;;;;;;
65232;65232;65232;67688;;;;;;;;
63322;63322;63322;69509;;;;;;;;
Rodenbach;67688;67688;91719;;;;;;;;
;Keine Angabe;;63911;;;;;;;;
69509;69509;69509;65549;;;;;;;;
91719;91719;91719;64319;;;;;;;;
63911;63911;63911;35236;;;;;;;;
65549;65549;65549;75038;;;;;;;;
64319;64319;64319;69226;;;;;;;;
35236;35236;35236;64295;;;;;;;;
72285;72285;72285;60486;;;;;;;;
75038;75038;75038;64646;;;;;;;;
Nussloch;69226;69226;64354;;;;;;;;
64295;64295;64295;35708;;;;;;;;
60486;60486;60486;65618;;;;;;;;
;Keine Angabe;;72760;;;;;;;;
64646;64646;64646;62495;;;;;;;;
Reinheim;64354;64354;64297;;;;;;;;
64646;64646;64646;60435;;;;;;;;
35708;35708;35708;1067;;;;;;;;
;Keine Angabe;;55126;;;;;;;;
64646;64646;64646;3430;;;;;;;;
60486;60486;60486;64289;;;;;;;;
65618;65618;65618;64283;;;;;;;;
72760;72760;72760;65510;;;;;;;;
62495;62495;62495;20095;;;;;;;;
65760;65760;65760;48683;;;;;;;;
64297;64297;64297;36088;;;;;;;;
;Keine Angabe;;61184;;;;;;;;
64646;64646;64646;65193;;;;;;;;
60435;60435;60435;65189;;;;;;;;
91719;91719;91719;22339;;;;;;;;
Dresden;1067;1067;2560;;;;;;;;
55126;55126;55126;60327;;;;;;;;
3430;3430;3430;53604;;;;;;;;
64289;64289;64289;73770;;;;;;;;
Darmstadt;64283;64283;28359;;;;;;;;
65510;65510;65510;34560;;;;;;;;
65510;65510;65510;63225;;;;;;;;
Hamburg;20095;20095;91550;;;;;;;;
48683;48683;48683;65197;;;;;;;;
64319;64319;64319;63571;;;;;;;;
Alsbach-Hähnlein;64665;64665;35390;;;;;;;;
36088;36088;36088;64293;;;;;;;;
61184;61184;61184;63500;;;;;;;;
55126;55126;55126;70173;;;;;;;;
Pfu64319ngstadt;Keine Angabe;;68159;;;;;;;;
65193;65193;65193;52062;;;;;;;;
65189;65189;65189;48161;;;;;;;;
22339;22339;22339;48149;;;;;;;;
Berndorf;2560;2560;47059;;;;;;;;
60327;60327;60327;57319;;;;;;;;
64289;64289;64289;64372;;;;;;;;
53604;53604;53604;50170;;;;;;;;
73770;73770;73770;60386;;;;;;;;
65189;65189;65189;63329;;;;;;;;
64289;64289;64289;63263;;;;;;;;
28359;28359;28359;57234;;;;;;;;
64646;64646;64646;56068;;;;;;;;
;Keine Angabe;;70567;;;;;;;;
34560;34560;34560;63741;;;;;;;;
91719;91719;91719;63165;;;;;;;;
63225;63225;63225;65185;;;;;;;;
91550;91550;91550;41061;;;;;;;;
65197;65197;65197;32683;;;;;;;;
65193;65193;65193;8570;;;;;;;;
Hamburg;20095;20095;34587;;;;;;;;
63571;63571;63571;35799;;;;;;;;
Frankfurt am Mai;Keine Angabe;;60439;;;;;;;;
35390;35390;35390;34123;;;;;;;;
Frankfurt am Mai;Keine Angabe;;78315;;;;;;;;
64293;64293;64293;34121;;;;;;;;
64646;64646;64646;37213;;;;;;;;
63500;63500;63500;34246;;;;;;;;
70173;70173;70173;34225;;;;;;;;
91719;91719;91719;7545;;;;;;;;
Darmstadt;64283;64283;35102;;;;;;;;
64293;64293;64293;48599;;;;;;;;
Mannheim;68159;68159;90762;;;;;;;;
35390;35390;35390;65388;;;;;;;;
;Keine Angabe;;34117;;;;;;;;
64646;64646;64646;34613;;;;;;;;
65193;65193;65193;34320;;;;;;;;
64289;64289;64289;87448;;;;;;;;
06351;Keine Angabe;;35066;;;;;;;;
52062;52062;52062;74374;;;;;;;;
Reinheim;64354;64354;35287;;;;;;;;
48161;48161;48161;65428;;;;;;;;
48149;48149;48149;56379;;;;;;;;
47059;47059;47059;36358;;;;;;;;
Dresden;1067;1067;35041;;;;;;;;
57319;57319;57319;66117;;;;;;;;
34560;34560;34560;71394;;;;;;;;
Ober-Ramstadt;64372;64372;65527;;;;;;;;
64295;64295;64295;93142;;;;;;;;
50170;50170;50170;35630;;;;;;;;
60386;60386;60386;72160;;;;;;;;
Egelsbach;63329;63329;65366;;;;;;;;
63263;63263;63263;27283;;;;;;;;
Wilnsdorf;57234;57234;21465;;;;;;;;
Hamburg;20095;20095;28865;;;;;;;;
69509;69509;69509;30853;;;;;;;;
56068;56068;56068;27383;;;;;;;;
06351;Keine Angabe;;25421;;;;;;;;
91719;91719;91719;37269;;;;;;;;
64293;64293;64293;13629;;;;;;;;
61348;61348;61348;70629;;;;;;;;
65232;65232;65232;64668;;;;;;;;
64289;64289;64289;69115;;;;;;;;
35390;35390;35390;64560;;;;;;;;
70567;70567;70567;34119;;;;;;;;
63741;63741;63741;61462;;;;;;;;
;Keine Angabe;;76137;;;;;;;;
;Keine Angabe;;61476;;;;;;;;
60486;60486;60486;80788;;;;;;;;
Mühlheim am Main;63165;63165;35088;;;;;;;;
57319;57319;57319;59969;;;;;;;;
57319;57319;57319;34590;;;;;;;;
65185;65185;65185;41065;;;;;;;;
41061;41061;41061;37242;;;;;;;;
32683;32683;32683;87527;;;;;;;;
8570;8570;8570;34127;;;;;;;;
;Keine Angabe;;54550;;;;;;;;
63329;63329;63329;34497;;;;;;;;
64289;64289;64289;35116;;;;;;;;
;Keine Angabe;;50670;;;;;;;;
34587;34587;34587;36163;;;;;;;;
;Keine Angabe;;40667;;;;;;;;
Merenberg;35799;35799;34302;;;;;;;;
06351;Keine Angabe;;80809;;;;;;;;
64289;64289;64289;57316;;;;;;;;
32683;32683;32683;50667;;;;;;;;
60439;60439;60439;20457;;;;;;;;
;Keine Angabe;;86899;;;;;;;;
;Keine Angabe;;60325;;;;;;;;
;Keine Angabe;;84130;;;;;;;;
;Keine Angabe;;91077;;;;;;;;
64283;64283;64283;15745;;;;;;;;
65510;65510;65510;60322;;;;;;;;
34123;34123;34123;35753;;;;;;;;
78315;78315;78315;53111;;;;;;;;
64289;64289;64289;57520;;;;;;;;
;Keine Angabe;;57537;;;;;;;;
34121;34121;34121;74076;;;;;;;;
37213;37213;37213;70569;;;;;;;;
34246;34246;34246;80805;;;;;;;;
34225;34225;34225;78592;;;;;;;;
64295;64295;64295;64625;;;;;;;;
Gera;7545;7545;64287;;;;;;;;
35102;35102;35102;74343;;;;;;;;
64295;64295;64295;20357;;;;;;;;
34123;34123;34123;64342;;;;;;;;
48599;48599;48599;71069;;;;;;;;
90762;90762;90762;70174;;;;;;;;
65388;65388;65388;60313;;;;;;;;
64293;64293;64293;88239;;;;;;;;
Kassel;34117;34117;80689;;;;;;;;
34613;34613;34613;99091;;;;;;;;
34320;34320;34320;88212;;;;;;;;
64289;64289;64289;77866;;;;;;;;
87448;87448;87448;10000;;;;;;;;
Waltenhofen;87448;87448;51465;;;;;;;;
35066;35066;35066;88690;;;;;;;;
74374;74374;74374;61118;;;;;;;;
35287;35287;35287;35510;;;;;;;;
Kassel;34117;34117;86150;;;;;;;;
;Keine Angabe;;50354;;;;;;;;
;Keine Angabe;;76131;;;;;;;;
64289;64289;64289;19053;;;;;;;;
65428;65428;65428;34128;;;;;;;;
56379;56379;56379;92224;;;;;;;;
36358;36358;36358;85057;;;;;;;;
64289;64289;64289;90429;;;;;;;;
37213;37213;37213;80539;;;;;;;;
35041;35041;35041;92345;;;;;;;;
35066;35066;35066;90559;;;;;;;;
35287;35287;35287;91224;;;;;;;;
66117;66117;66117;35305;;;;;;;;
Kassel;34117;34117;35452;;;;;;;;
71394;71394;71394;71522;;;;;;;;
Kernen;71394;71394;91217;;;;;;;;
65527;65527;65527;90409;;;;;;;;
93142;93142;93142;90402;;;;;;;;
71394;71394;71394;45127;;;;;;;;
35630;35630;35630;91154;;;;;;;;
72160;72160;72160;90403;;;;;;;;
60486;60486;60486;90449;;;;;;;;
65428;65428;65428;97993;;;;;;;;
64289;64289;64289;90556;;;;;;;;
32683;32683;32683;90461;;;;;;;;
65366;65366;65366;90425;;;;;;;;
27283;27283;27283;56564;;;;;;;;
21465;21465;21465;60528;;;;;;;;
28865;28865;28865;33106;;;;;;;;
65366;65366;65366;78333;;;;;;;;
30853;30853;30853;63457;;;;;;;;
Hamburg;20095;20095;64546;;;;;;;;
Hamburg;20095;20095;71642;;;;;;;;
65366;65366;65366;74081;;;;;;;;
27383;27383;27383;16761;;;;;;;;
25421;25421;25421;77933;;;;;;;;
64289;64289;64289;69412;;;;;;;;
Bad Iburg, Deuts;Keine Angabe;;38226;;;;;;;;
32683;32683;32683;38229;;;;;;;;
63225;63225;63225;64846;;;;;;;;
34613;34613;34613;1111;;;;;;;;
Kassel;34117;34117;55246;;;;;;;;
37269;37269;37269;78048;;;;;;;;
13629;13629;13629;49074;;;;;;;;
Filderstadt;70629;70629;85774;;;;;;;;
;Keine Angabe;;26121;;;;;;;;
;Keine Angabe;;64367;;;;;;;;
;Keine Angabe;;90427;;;;;;;;
