Kreis;Bundesland;PLZ;Typ;;;;;;
Dresden;Sachsen;1067;Stadt;;;;;;
Dresden;Sachsen;1069;Stadt;;;;;;
Dresden;Sachsen;1097;Stadt;;;;;;
Dresden;Sachsen;1099;Stadt;;;;;;
Dresden;Sachsen;1108;Stadt;;;;;;
Dresden;Sachsen;1109;Stadt;;;;;;
Dresden;Sachsen;1127;Stadt;;;;;;
Dresden;Sachsen;1129;Stadt;;;;;;
Dresden;Sachsen;1139;Stadt;;;;;;
Dresden;Sachsen;1156;Stadt;;;;;;
Dresden;Sachsen;1157;Stadt;;;;;;
Dresden;Sachsen;1159;Stadt;;;;;;
Dresden;Sachsen;1169;Stadt;;;;;;
Dresden;Sachsen;1187;Stadt;;;;;;
Dresden;Sachsen;1189;Stadt;;;;;;
Dresden;Sachsen;1217;Stadt;;;;;;
Dresden;Sachsen;1219;Stadt;;;;;;
Dresden;Sachsen;1237;Stadt;;;;;;
Dresden;Sachsen;1239;Stadt;;;;;;
Dresden;Sachsen;1257;Stadt;;;;;;
Dresden;Sachsen;1259;Stadt;;;;;;
Dresden;Sachsen;1277;Stadt;;;;;;
Dresden;Sachsen;1279;Stadt;;;;;;
Dresden;Sachsen;1307;Stadt;;;;;;
Dresden;Sachsen;1309;Stadt;;;;;;
Dresden;Sachsen;1324;Stadt;;;;;;
Dresden;Sachsen;1326;Stadt;;;;;;
Dresden;Sachsen;1328;Stadt;;;;;;
Meißen;Sachsen;1445;Kreis;;;;;;
Bautzen;Sachsen;1454;Kreis;;;;;;
Bautzen;Sachsen;1458;Kreis;;;;;;
Dresden;Sachsen;1465;Stadt;;;;;;
Meißen;Sachsen;1468;Kreis;;;;;;
Meißen;Sachsen;1471;Kreis;;;;;;
Bautzen;Sachsen;1477;Kreis;;;;;;
Meißen;Sachsen;1558;Kreis;;;;;;
Meißen;Sachsen;1561;Kreis;;;;;;
Meißen;Sachsen;1587;Kreis;;;;;;
Meißen;Sachsen;1589;Kreis;;;;;;
Meißen;Sachsen;1591;Kreis;;;;;;
Meißen;Sachsen;1594;Kreis;;;;;;
Meißen;Sachsen;1609;Kreis;;;;;;
Meißen;Sachsen;1612;Kreis;;;;;;
Meißen;Sachsen;1616;Kreis;;;;;;
Meißen;Sachsen;1619;Kreis;;;;;;
Meißen;Sachsen;1623;Kreis;;;;;;
Meißen;Sachsen;1640;Kreis;;;;;;
Meißen;Sachsen;1662;Kreis;;;;;;
Meißen;Sachsen;1665;Kreis;;;;;;
Meißen;Sachsen;1683;Kreis;;;;;;
Meißen;Sachsen;1689;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1705;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1723;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1728;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1731;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1734;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1737;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1738;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1744;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1762;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1768;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1773;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1774;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1776;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1778;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1796;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1809;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1814;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1816;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1819;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1824;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1825;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1829;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1833;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1844;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1847;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1848;Kreis;;;;;;
Sächsische Schweiz-Osterzgebirge;Sachsen;1855;Kreis;;;;;;
Bautzen;Sachsen;1877;Kreis;;;;;;
Bautzen;Sachsen;1896;Kreis;;;;;;
Bautzen;Sachsen;1900;Kreis;;;;;;
Bautzen;Sachsen;1904;Kreis;;;;;;
Bautzen;Sachsen;1906;Kreis;;;;;;
Bautzen;Sachsen;1909;Kreis;;;;;;
Bautzen;Sachsen;1917;Kreis;;;;;;
Bautzen;Sachsen;1920;Kreis;;;;;;
Bautzen;Sachsen;1936;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1945;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1968;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1979;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1983;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1987;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1990;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1993;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1994;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1996;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;1998;Kreis;;;;;;
Bautzen;Sachsen;2625;Kreis;;;;;;
Bautzen;Sachsen;2627;Kreis;;;;;;
Bautzen;Sachsen;2633;Kreis;;;;;;
Bautzen;Sachsen;2681;Kreis;;;;;;
Bautzen;Sachsen;2689;Kreis;;;;;;
Bautzen;Sachsen;2692;Kreis;;;;;;
Bautzen;Sachsen;2694;Kreis;;;;;;
Bautzen;Sachsen;2699;Kreis;;;;;;
Görlitz;Sachsen;2708;Kreis;;;;;;
Görlitz;Sachsen;2727;Kreis;;;;;;
Görlitz;Sachsen;2730;Kreis;;;;;;
Bautzen;Sachsen;2733;Kreis;;;;;;
Görlitz;Sachsen;2736;Kreis;;;;;;
Görlitz;Sachsen;2739;Kreis;;;;;;
Görlitz;Sachsen;2742;Kreis;;;;;;
Görlitz;Sachsen;2747;Kreis;;;;;;
Görlitz;Sachsen;2748;Kreis;;;;;;
Görlitz;Sachsen;2763;Kreis;;;;;;
Görlitz;Sachsen;2779;Kreis;;;;;;
Görlitz;Sachsen;2782;Kreis;;;;;;
Görlitz;Sachsen;2785;Kreis;;;;;;
Görlitz;Sachsen;2788;Kreis;;;;;;
Görlitz;Sachsen;2791;Kreis;;;;;;
Görlitz;Sachsen;2794;Kreis;;;;;;
Görlitz;Sachsen;2796;Kreis;;;;;;
Görlitz;Sachsen;2797;Kreis;;;;;;
Görlitz;Sachsen;2799;Kreis;;;;;;
Görlitz;Sachsen;2826;Kreis;;;;;;
Görlitz;Sachsen;2827;Kreis;;;;;;
Görlitz;Sachsen;2828;Kreis;;;;;;
Görlitz;Sachsen;2829;Kreis;;;;;;
Görlitz;Sachsen;2894;Kreis;;;;;;
Görlitz;Sachsen;2899;Kreis;;;;;;
Görlitz;Sachsen;2906;Kreis;;;;;;
Görlitz;Sachsen;2923;Kreis;;;;;;
Görlitz;Sachsen;2929;Kreis;;;;;;
Görlitz;Sachsen;2943;Kreis;;;;;;
Görlitz;Sachsen;2953;Kreis;;;;;;
Görlitz;Sachsen;2956;Kreis;;;;;;
Görlitz;Sachsen;2957;Kreis;;;;;;
Görlitz;Sachsen;2959;Kreis;;;;;;
Bautzen;Sachsen;2977;Kreis;;;;;;
Bautzen;Sachsen;2979;Kreis;;;;;;
Bautzen;Sachsen;2991;Kreis;;;;;;
Bautzen;Sachsen;2994;Kreis;;;;;;
Bautzen;Sachsen;2997;Kreis;;;;;;
Bautzen;Sachsen;2999;Kreis;;;;;;
Cottbus;Brandenburg;3042;Stadt;;;;;;
Cottbus;Brandenburg;3044;Stadt;;;;;;
Cottbus;Brandenburg;3046;Stadt;;;;;;
Cottbus;Brandenburg;3048;Stadt;;;;;;
Cottbus;Brandenburg;3050;Stadt;;;;;;
Cottbus;Brandenburg;3051;Stadt;;;;;;
Cottbus;Brandenburg;3052;Stadt;;;;;;
Cottbus;Brandenburg;3053;Stadt;;;;;;
Cottbus;Brandenburg;3054;Stadt;;;;;;
Cottbus;Brandenburg;3055;Stadt;;;;;;
Spree-Neiße;Brandenburg;3058;Kreis;;;;;;
Spree-Neiße;Brandenburg;3096;Kreis;;;;;;
Spree-Neiße;Brandenburg;3099;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;3103;Kreis;;;;;;
Spree-Neiße;Brandenburg;3116;Kreis;;;;;;
Spree-Neiße;Brandenburg;3119;Kreis;;;;;;
Spree-Neiße;Brandenburg;3130;Kreis;;;;;;
Spree-Neiße;Brandenburg;3149;Kreis;;;;;;
Spree-Neiße;Brandenburg;3159;Kreis;;;;;;
Spree-Neiße;Brandenburg;3172;Kreis;;;;;;
Spree-Neiße;Brandenburg;3185;Kreis;;;;;;
Spree-Neiße;Brandenburg;3197;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;3205;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;3222;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;3226;Kreis;;;;;;
Oberspreewald-Lausitz;Brandenburg;3229;Kreis;;;;;;
Elbe-Elster;Brandenburg;3238;Kreis;;;;;;
Elbe-Elster;Brandenburg;3246;Kreis;;;;;;
Elbe-Elster;Brandenburg;3249;Kreis;;;;;;
Elbe-Elster;Brandenburg;3253;Kreis;;;;;;
Leipzig;Sachsen;4103;Stadt;;;;;;
Leipzig;Sachsen;4105;Stadt;;;;;;
Leipzig;Sachsen;4107;Stadt;;;;;;
Leipzig;Sachsen;4109;Stadt;;;;;;
Leipzig;Sachsen;4129;Stadt;;;;;;
Leipzig;Sachsen;4155;Stadt;;;;;;
Leipzig;Sachsen;4157;Stadt;;;;;;
Leipzig;Sachsen;4158;Kreis;;;;;;
Leipzig;Sachsen;4159;Stadt;;;;;;
Leipzig;Sachsen;4177;Stadt;;;;;;
Leipzig;Sachsen;4178;Kreis;;;;;;
Leipzig;Sachsen;4179;Stadt;;;;;;
Leipzig;Sachsen;4205;Stadt;;;;;;
Leipzig;Sachsen;4207;Stadt;;;;;;
Leipzig;Sachsen;4209;Stadt;;;;;;
Leipzig;Sachsen;4229;Stadt;;;;;;
Leipzig;Sachsen;4249;Stadt;;;;;;
Leipzig;Sachsen;4275;Stadt;;;;;;
Leipzig;Sachsen;4277;Stadt;;;;;;
Leipzig;Sachsen;4279;Stadt;;;;;;
Leipzig;Sachsen;4288;Kreis;;;;;;
Leipzig;Sachsen;4289;Stadt;;;;;;
Leipzig;Sachsen;4299;Stadt;;;;;;
Leipzig;Sachsen;4315;Stadt;;;;;;
Leipzig;Sachsen;4316;Kreis;;;;;;
Leipzig;Sachsen;4317;Stadt;;;;;;
Leipzig;Sachsen;4318;Stadt;;;;;;
Leipzig;Sachsen;4319;Stadt;;;;;;
Leipzig;Sachsen;4328;Kreis;;;;;;
Leipzig;Sachsen;4329;Stadt;;;;;;
Leipzig;Sachsen;4347;Stadt;;;;;;
Leipzig;Sachsen;4349;Stadt;;;;;;
Leipzig;Sachsen;4356;Kreis;;;;;;
Leipzig;Sachsen;4357;Stadt;;;;;;
Leipzig;Sachsen;4416;Kreis;;;;;;
Leipzig;Sachsen;4420;Kreis;;;;;;
Nordsachsen;Sachsen;4425;Kreis;;;;;;
Nordsachsen;Sachsen;4435;Kreis;;;;;;
Leipzig;Sachsen;4442;Kreis;;;;;;
Leipzig;Sachsen;4451;Kreis;;;;;;
Leipzig;Sachsen;4463;Kreis;;;;;;
Nordsachsen;Sachsen;4509;Kreis;;;;;;
Nordsachsen;Sachsen;4519;Kreis;;;;;;
Leipzig;Sachsen;4523;Kreis;;;;;;
Leipzig;Sachsen;4539;Kreis;;;;;;
Leipzig;Sachsen;4552;Kreis;;;;;;
Leipzig;Sachsen;4564;Kreis;;;;;;
Leipzig;Sachsen;4565;Kreis;;;;;;
Leipzig;Sachsen;4567;Kreis;;;;;;
Leipzig;Sachsen;4571;Kreis;;;;;;
Leipzig;Sachsen;4575;Kreis;;;;;;
Altenburger Land;Thüringen;4600;Kreis;;;;;;
Altenburger Land;Thüringen;4603;Kreis;;;;;;
Altenburger Land;Thüringen;4610;Kreis;;;;;;
Altenburger Land;Thüringen;4613;Kreis;;;;;;
Altenburger Land;Thüringen;4617;Kreis;;;;;;
Altenburger Land;Thüringen;4618;Kreis;;;;;;
Altenburger Land;Thüringen;4626;Kreis;;;;;;
Altenburger Land;Thüringen;4639;Kreis;;;;;;
Leipzig;Sachsen;4643;Kreis;;;;;;
Leipzig;Sachsen;4651;Kreis;;;;;;
Leipzig;Sachsen;4654;Kreis;;;;;;
Leipzig;Sachsen;4655;Kreis;;;;;;
